Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
,6016,21/06/2016,Volac,Felinfach,Biomass (dedicated),3.2,Yes,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Volac International Ltd, Felinfach, Lampeter",Ceredigion,Wales,Wales,SA48 8AF,"251,860","257,661",Ceredigion County Council,A131001,,,,,,22/01/2014,,,,,,,29/05/2014,,,,29/05/2017,15/03/2015,15/03/2016
,6033,16/06/2017,Clean Earth Energy,Bodtegir,Wind Onshore,1.5,n/a,,,,1.5,1,100,n/a,Planning Permission Granted,Awaiting Construction,"Land at Bodtegir, part of the, Mwdwl Eithin, Nant Bach Wind Farm On Land At, Corwen",Clwyd,Wales,Wales,LL21 9AB,"299,554","347,741",Conwy County Borough Council,0/42466,,,,,,12/02/2016,,,,,,,20/04/2016,,,,20/04/2021,,
,6035,18/07/2017,Suncredit UK (Sunventures 7) ,Caergarw Farm,Solar Photovoltaics,3.8,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Land at Caegarw Farm, Margam, Pyle, Bridgend",Mid Glamorgan,Wales,Wales,CF33 6PT,"282,219","183,728",Neath Port Talbot County Borough Council,P2015/0692,,,,,,23/11/2015,,,,,,,17/05/2016,,,,17/05/2019,20/12/2016,20/03/2017
,6053,16/12/2016,Belvedere Energy Developments,Pant Cefn Farm,Solar Photovoltaics,2.9,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Pantcefn Farm, Llanarth, Dyfed",Ceredigion,Wales,Wales,SA47 0RH,"243,298","257,835",Ceredigion County Council,A150537,,,,,,09/10/2015,,,,,,,01/07/2016,,,,01/07/2021,,
,6064,19/07/2017,Green Plan Energy/ Equitix ,Land at Bryn Lane ,Biomass (dedicated),5.4,No,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Land at Bryn Lane, Wrexham Industrial Estate, Wreham",Wrexham,Wales,Wales,LL13 9UT,"338,821","350,498",Wrexham County Borough Council,P/2010/0642,,,,,,02/09/2010,,,,,,,09/07/2015,,,,09/07/2020,,
,6071,01/09/2016,Countryside Renewables,Rhyd y Groes,Solar Photovoltaics,49.9,n/a,,,,n/a,n/a,n/a,Ground,Planning Application Submitted,Application Submitted,"Llanbadrig, Cemaes Bay, Gwynedd",Isle of Anglesey,Wales,Wales,LL67,"239,215","392,601",Isle of Anglesey County Council,20C102P/EIA/RE,,,,,,01/03/2016,,,,,,,,,,,,,
,6079,27/04/2017,Infinite Renewables,West of Rhiwfelin Fach Farm,Wind Onshore,1.5,n/a,,,,1.5,1,116,n/a,Planning Permission Granted,Awaiting Construction,"Land to the West of, Rhiwfelin Fach Farm, Llantrisant, Heol Sticil-Y-Beddau, Pontyclun",Mid Glamorgan,Wales,Wales,CF72 8LQ,"303,640","185,362",Rhondda Cynon Taff County Borough Council,16/0124/10,,,,,,08/02/2016,,,,,,,19/07/2016,,,,19/07/2019,,
,6084,13/04/2016,Active Renewables,Arail Farm Road,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Application Withdrawn,Application Withdrawn,"Land North of, Arail Farm Road, Abertillery",Blaenau Gwent,Wales,England,NP13 2ED,"321,403","203,178",Blaenau Gwent County Borough Council,C/2015/0337,,,,,,16/09/2015,17/12/2015,,,,,,,,,,,,
,6089,25/08/2016,SIMEC Group,Uskmouth Power Station ,Biomass (co-firing),18,Yes,,,,n/a,n/a,n/a,n/a,Operational,Operational,"West Nash Road, Nash, Newport, Gwent ",Newport,Wales,Wales,NP18 2 BZ,"334,280","183,720",DECC (S36),,,,,,,,,,,,,,,,,,,01/01/2015,01/03/2015
,6108,19/04/2017,3C Renewable Energy Investments/Conergy(?),Popehill Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Land East of A4076(T), Popehill, Johnston, Haverfordwest, Dyfed",Pembrokeshire,Wales,Wales,SA62 3NX,"193,972","212,565",Pembrokeshire County Council,15/0443/PA,,,,,,08/10/2015,,,,,,,18/05/2016,,,,,,
,6160,30/06/2016,Cenin Renewables,Llwyncelyn Farm,Wind Onshore,5,n/a,,,,2.5,2,125,n/a,Planning Application Submitted,Application Submitted,"Llwyncelyn Farm, Haford Lane, Porth",Rhondda Cynon Taff,Wales,Wales,CF39 9U,"303,627","192,833",Rhondda Cynon Taff County Borough Council,15/1635/10,,,,,,23/12/2015,,,,,,,,,,,,,
,6172,28/07/2016,Solar Ventures,Williams Farm,Solar Photovoltaics,5,,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Williams Farm, Maelor Gas Works, Marchwiel, Wrexham",Wrexham,Wales,Wales,LL13 0UW,"338,309","348,363",Wrexham County Borough Council,P/2015/0463,,,,,,26/06/2015,,,,,,,21/12/2015,,,,,01/02/2016,31/03/2016
,6184,22/06/2017,SIMEC/ Liberty House,Liberty Steel Power Station,Biomass (dedicated),9,,,,,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Liberty Steel, Corporation Road, Newport",Newport,Wales,Wales,NP19 4XE,"333,374","185,135",Newport City Council,16/0096,,,,,,01/02/2016,,,,,,,03/03/2016,,,,,04/03/2016,
,6185,03/08/2016,SIMEC,Uskmouth Power Station (ACT Plant),Advanced Conversion Technologies,8,,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Uskmouth Power Station, West Nash Road, Nash, Newport",Newport,Wales,Wales,NP18 2BZ,"333,031","183,925",Newport City Council,16/0257,,,,,,21/03/2016,,,,,,,20/04/2016,,,,,,
,6196,04/10/2016,RWE Innogy,Conwy Falls,Large Hydro,5,n/a,,,,n/a,n/a,n/a,n/a,Planning Application Withdrawn,Application Withdrawn,"Afon Conwy, Betws-Y-Coed, Gwynedd",Conwy/Gwynedd,Wales,Wales,LL24 0SH,"279,800","354,500",Snowdonia National Park Authority,NP4/26/323A,,,,,,05/08/2016,28/09/2016,,,,,,,,,,,,
,6228,25/04/2017,Newbridge Energy ,Blazer Fuels ,Biomass (dedicated),3,Yes,,,,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Blazers Fuels, Brickfield Lane, Off Denbigh Road, Ruthin, Denbighshire",Denbighshire,Wales,Wales, LL15 2TN ,"311,558","359,049",Denbighshire County Council,02/2015/1095,,,,,,02/11/2015,,,,,,,22/12/2015,,,,,01/01/2016,
,6301,31/03/2017,Clean Earth,Cwmbargoed Disposal Point,Wind Onshore,1.5,n/a,,,,1.5,1,126,n/a,Planning Permission Refused,Application Refused,"Cwmbargoed Disposal Point, Fochriw Road, Cwmbargoed, Merthyr Tydfil, Mid Glamorgan",Merthyr Tydfil,Wales,Wales,CF48 4AE,"308,888","206,171",Merthyr Tydfil County Borough Council,P/17/0004,,,,,,09/01/2017,,20/03/2017,,,,,,,,,,,
,6335,21/06/2017,Pennant Walters (MAESX),Maesgwyn Wind Farm - extension (Phase 2),Wind Onshore,7,n/a,,,,2.3,3,,n/a,Planning Permission Granted,Awaiting Construction,Maesgwyn Wind Farm Between Onllwyn & Glynneath,Neath Port Talbot,Wales,Wales,,"286,568","205,930",Neath Port Talbot County Borough Council,P2014/0733,,,,,,15/08/2014,,,,,,,17/12/2015,,,,17/12/2020,,
,6343,01/06/2017,Mr D T Jones,Penyrheol Las Farm,Wind Onshore,1,n/a,,,,0.5,2,74,n/a,Planning Permission Refused,Application Refused,"Pen Yr Heol Las Farm, Heol Las, Caerphilly, Mid Glamorgan",Caerphilly,Wales,Wales,CF83 2TT,"313,774","191,119",Caerphilly County Borough Council,17/0218/FULL,,,,,,23/03/2017,,18/05/2017,,,,,,,,,,,
,6366,04/04/2017,Hydro Electric Development,Ystradffin Hydropower Project,Small Hydro,,n/a,,,,n/a,n/a,n/a,n/a,Planning Application Submitted,Application Submitted,"Ystradffin Hydropower Project, Rhandirmwyn, Llandovery, Dyfed",Carmarthenshire,Wales,Wales,SA20,"277,600","245,890",Carmarthenshire County Council,E/34887,,,,,,21/12/2016,,,,,,,,,,,,,
,6369,04/04/2017,INRG,Rosedew Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Land at Rosedew Farm, Beach Road, Llantwit Major",Vale of Glamorgan,Wales,Wales,CF61 1PZ,"297,779","167,534",Vale of Glamorgan Council,2015/00218/FUL,,,,,,02/03/2015,,,,,,,03/08/2015,,,,,29/01/2016,29/03/2016
,6375,05/04/2017,Merthyr Tydfil County Borough Council,Pengarnddu Industrial Estate - Biomass Recycling Plant ,Advanced Conversion Technologies,1,Yes,,,,n/a,n/a,n/a,n/a,Decommissioned,Decommissioned,"Plot 2 Pengarnddu estate, alongside the A465 Heads Of The Valleys Road at Dowlais Top.",Merthyr Tydfil,Wales,Wales,,"307,702","208,951",Merthyr Tydfil County Borough Council,P/12/0298,,,,,,31/10/2012,,,,,,,24/07/2013,,,,01/01/2014,03/03/2014,
,6378,05/07/2017,Sirius Group,Former Nant-y-Gwyddon Landfill Site,Wind Onshore,1.5,n/a,,,,1.5,1,122,n/a,Planning Application Submitted,Application Submitted,"Land adj. to former Nant-Y-Gwy, Landfill site, Pentre, Mid Glamorgan",Rhondda Cynon Taff,Wales,Wales,CF41,"297,766","193,866",Rhondda Cynon Taff County Borough Council,17/0321/10,,,,,,17/03/2017,,,,,,,,,,,,,
,6420,29/06/2017,Solar Energy Farm ,Court Colman,Solar Photovoltaics,1,n/a,,,,n/a,n/a,n/a,Ground,Planning Application Submitted,Application Submitted,"Land south/west of Longacre, Court Colman, Bridgend, Mid Glamorgan",Bridgend,Wales,Wales,CF32 0HD,"288,235","182,822",Bridgend County Borough Council,P/17/423/FUL,,,,,,16/05/2017,,,,,,,,,,,,,
,6422,29/06/2017,Cleanearth ,Graig Fatha Farm,Wind Onshore,2.5,n/a,,,,2.5,1,126,n/a,Planning Application Submitted,Application Submitted,"Land at Graig Fatha Farm, Tonyrefail, Porth, Mid Glamorgan",Rhondda Cynon Taff,Wales,Wales,CF39 8EX,"301,279","185,404",Rhondda Cynon Taff County Borough Council,17/0493/10,,,,,,02/05/2017,,,,,,,,,,,,,
